data # struct_part # percentage
lb # L2 # 0.0021691973969631237
surf # L4 # 0.00020373514431239388
jpg # L3 # 0.00015363343063450608
associated # L10 # 0.08333333333333333
jon # L3 # 0.0017667844522968198
mjp # L3 # 0.00015363343063450608
vmj # L3 # 7.681671531725304e-05
styk # L4 # 6.791171477079796e-05
june # L4 # 0.010390492359932089
bk # L2 # 0.0016455980252823696
nh # L2 # 0.0011967985638417233
baby # L4 # 0.0048217317487266554
and # L3 # 0.0009986172991242894
sk # L2 # 0.00261799685840377
t # L1 # 0.04178272980501393
nikl # L4 # 6.791171477079796e-05
boston # L6 # 0.0008970908624887864
ny # L2 # 0.0018699977560026927
quilts # L6 # 0.0002563116749967961
cp # L2 # 0.00261799685840377
cmk # L3 # 0.0002304501459517591
me # L2 # 0.008302790036651957
jack # L4 # 0.00400679117147708
jrg # L3 # 0.00015363343063450608
paige # L5 # 0.0006691648822269807
chand # L5 # 6.691648822269808e-05
aime # L4 # 0.00013582342954159593
jan # L3 # 0.006145337225380243
l # L1 # 0.026661360923199363
lovel # L5 # 6.691648822269808e-05
lovell # L6 # 0.00012815583749839805
kbea # L4 # 6.791171477079796e-05
row # L3 # 7.681671531725304e-05
ron # L3 # 0.0010754340144415425
ronikhan # L8 # 0.0004127115146512588
muse # L4 # 0.00033955857385398983
tobi # L4 # 0.00020373514431239388
joshua # L6 # 0.002947584262463155
love # L4 # 0.011137521222410867
jane # L4 # 0.0007470288624787776
nanu # L4 # 0.00013582342954159593
yablo # L5 # 6.691648822269808e-05
smt # L3 # 0.0007681671531725304
coin # L4 # 6.791171477079796e-05
n # L1 # 0.027656187823318742
nln # L3 # 0.00015363343063450608
reckles # L7 # 0.00025258903763576663
reckless # L8 # 0.0004127115146512588
bo # L2 # 0.0037399955120053854
cyndi # L5 # 0.00013383297644539615
ni # L2 # 0.0029919964096043086
nini # L4 # 0.00020373514431239388
dan # L3 # 0.002227684744200338
jmk # L3 # 0.00015363343063450608
lh # L2 # 0.0014959982048021543
lqb # L3 # 7.681671531725304e-05
vz # L2 # 0.00014959982048021541
sar # L3 # 0.0008449838684897833
sarwar # L6 # 0.00012815583749839805
f # L1 # 0.018404297652208516
cash # L4 # 0.0012903225806451613
ry # L2 # 0.0006731991921609694
ryguy # L5 # 6.691648822269808e-05
pat # L3 # 0.0013058841603933015
en # L2 # 0.001795197845762585
crocket # L7 # 0.0005051780752715333
crockett # L8 # 0.0004127115146512588
sherunsaway # L11 # 0.0136986301369863
dsc # L3 # 0.00015363343063450608
lane # L4 # 0.00047538200339558573
maf # L3 # 0.00030726686126901216
nicholas # L8 # 0.002888980602558811
pine # L4 # 0.00033955857385398983
isabe # L5 # 0.00033458244111349034
isabelle # L8 # 0.0020635575732562937
yoda # L4 # 0.00047538200339558573
qtip # L4 # 6.791171477079796e-05
payme # L5 # 0.00013383297644539615
a # L1 # 0.19289693593314763
sutphin # L7 # 0.00025258903763576663
acm # L3 # 0.0003840835765862652
cels # L4 # 6.791171477079796e-05
ryan # L4 # 0.0031918505942275044
os # L2 # 0.0008227990126411848
za # L2 # 0.002318797217443339
zara # L4 # 0.00013582342954159593
zarathustra # L11 # 0.0136986301369863
eh # L2 # 0.0007479991024010772
odie # L4 # 0.00040747028862478775
sy # L2 # 0.001047198743361508
sydney # L6 # 0.0007689350249903883
rdlu # L4 # 6.791171477079796e-05
kan # L3 # 0.00015363343063450608
kankan # L6 # 0.00012815583749839805
di # L2 # 0.001047198743361508
digi # L4 # 0.00033955857385398983
asdf # L4 # 0.0049575551782682515
jeb # L3 # 7.681671531725304e-05
krp # L3 # 0.00015363343063450608
salem # L5 # 0.00033458244111349034
scooter # L7 # 0.001262945188178833
bisquit # L7 # 0.0005051780752715333
x # L1 # 0.02487067250298448
xx # L2 # 0.0037399955120053854
lola # L4 # 0.0007470288624787776
